timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1638761627903,163,HTTP Request API Users GetNet,200,,Thread Group 1-6,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,163,0,0
1638761627902,164,HTTP Request API Users GetNet,200,,Thread Group 1-4,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,164,0,0
1638761627953,168,HTTP Request API Users GetNet,200,,Thread Group 1-1,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,168,0,0
1638761627953,168,HTTP Request API Users GetNet,200,,Thread Group 1-3,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,168,0,0
1638761627953,175,HTTP Request API Users GetNet,200,,Thread Group 1-8,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,175,0,0
1638761627985,171,HTTP Request API Users GetNet,200,,Thread Group 1-10,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,164,0,0
1638761627997,160,HTTP Request API Users GetNet,200,,Thread Group 1-5,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,160,0,0
1638761628013,164,HTTP Request API Users GetNet,200,,Thread Group 1-2,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,164,0,0
1638761628020,157,HTTP Request API Users GetNet,200,,Thread Group 1-7,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,157,0,0
1638761628049,166,HTTP Request API Users GetNet,200,,Thread Group 1-9,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,166,0,0
1638761628067,177,HTTP Request API Users GetNet,200,,Thread Group 1-4,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,177,0,0
1638761628067,177,HTTP Request API Users GetNet,200,,Thread Group 1-6,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,177,0,0
1638761628128,160,HTTP Request API Users GetNet,200,,Thread Group 1-8,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,160,0,0
1638761628122,166,HTTP Request API Users GetNet,200,,Thread Group 1-3,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,166,0,0
1638761628122,166,HTTP Request API Users GetNet,200,,Thread Group 1-1,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,166,0,0
1638761628157,167,HTTP Request API Users GetNet,200,,Thread Group 1-5,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,167,0,0
1638761628157,167,HTTP Request API Users GetNet,200,,Thread Group 1-10,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,167,0,0
1638761628178,164,HTTP Request API Users GetNet,200,,Thread Group 1-7,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,164,0,0
1638761628178,169,HTTP Request API Users GetNet,200,,Thread Group 1-2,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,164,0,0
1638761628216,162,HTTP Request API Users GetNet,200,,Thread Group 1-9,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,161,0,0
1638761628245,165,HTTP Request API Users GetNet,200,,Thread Group 1-4,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,165,0,0
